# reading -> cuneiform codepoint, learned from lines where the codepoint
# count equals the sign count. Generated by programs/learn_signmap.py.
# reading	cuneiform	confidence	top_obs	total_obs	unicode_name
ZÌ	𒂠	0.994	492	495	CUNEIFORM SIGN ESH2
BU	𒁍	0.996	476	478	CUNEIFORM SIGN BU
DU₁₀	𒄭	0.998	477	478	CUNEIFORM SIGN HI
kur	𒆳	1.000	456	456	CUNEIFORM SIGN KUR
TUKU	𒌇	0.998	455	456	CUNEIFORM SIGN TUK
tap	𒋰	1.000	454	454	CUNEIFORM SIGN TAB
EŠ	𒌍	0.996	443	445	CUNEIFORM SIGN U U U
LU	𒇻	0.998	433	434	CUNEIFORM SIGN LU
30	𒌍	0.998	427	428	CUNEIFORM SIGN U U U
ge	𒄀	1.000	426	426	CUNEIFORM SIGN GI
UB	𒌒	1.000	425	425	CUNEIFORM SIGN UB
dam	𒁮	1.000	419	419	CUNEIFORM SIGN DAM
PÚ	𒇥	0.998	417	418	CUNEIFORM SIGN LAGAB TIMES U
we	𒊄	0.966	402	416	CUNEIFORM SIGN PI TIMES E
KU₇	𒆯	0.998	415	416	CUNEIFORM SIGN KU7
EME	𒅴	1.000	414	414	CUNEIFORM SIGN KA TIMES ME
IM	𒅎	0.995	410	412	CUNEIFORM SIGN IM
IB	𒅁	1.000	410	410	CUNEIFORM SIGN IB
7	𒐌	1.000	409	409	CUNEIFORM NUMERIC SIGN SEVEN DISH
AB	𒀊	1.000	407	407	CUNEIFORM SIGN AB
GE₆	𒈪	0.995	401	403	CUNEIFORM SIGN MI
UN	𒌦	0.998	401	402	CUNEIFORM SIGN UN
wi	𒊅	0.915	368	402	CUNEIFORM SIGN PI TIMES I
KE	𒆠	1.000	399	399	CUNEIFORM SIGN KI
6	𒐋	0.997	397	398	CUNEIFORM NUMERIC SIGN SIX DISH
NAM	𒉆	0.992	393	396	CUNEIFORM SIGN NAM
ANŠE	𒀲	0.997	395	396	CUNEIFORM SIGN ANSHE
GUL	𒄢	0.997	394	395	CUNEIFORM SIGN GUL
GIDRU	𒉺	1.000	395	395	CUNEIFORM SIGN PA
AŠ	𒀸	1.000	390	390	CUNEIFORM SIGN ASH
gal	𒃲	1.000	364	364	CUNEIFORM SIGN GAL
TA	𒋫	0.975	354	363	CUNEIFORM SIGN TA
ITU	𒌗	0.992	358	361	CUNEIFORM SIGN UD TIMES U PLUS U PLUS U
GÌR	𒄊	0.997	357	358	CUNEIFORM SIGN GIR3
UT	𒌓	1.000	355	355	CUNEIFORM SIGN UD
TUP	𒁾	1.000	350	350	CUNEIFORM SIGN DUB
GAG	𒆕	1.000	349	349	CUNEIFORM SIGN KAK
EM	𒅎	0.997	343	344	CUNEIFORM SIGN IM
INIM	𒅗	0.997	342	343	CUNEIFORM SIGN KA
šum	𒋳	0.997	336	337	CUNEIFORM SIGN TAG
úr	𒌫	1.000	335	335	CUNEIFORM SIGN UR2
